Timestamp,Why have you enrolled in this course?,What program are you enrolled in?,How much programming experience have you had?,How much experience with probability and statistics have you had?,What is your expected major or concentration?,What career path most interests you?,What kinds of data most interest you? List any that cross your mind.,If we have time -- and we may not -- what special topics would interest you? Check all that apply.
1/26/2017 12:06:11,To help with my career,Undergraduate business,None,I have taken one probability or statistics course,Finance,Consulting,,"Multivariate regression, Web scraping, Machine Learning"
1/27/2017 19:53:47,To help with my career,MS Information Systems,I have taken one programming course,None,Information Systems,Consulting,Political ,Machine Learning
1/27/2017 20:06:13,To help with my career,Graduate Economics,I have taken one programming course,I have taken many courses and/or have extensive experience,Analytics or other quant,Data Analytics,industry data/firm data,Machine Learning
1/27/2017 20:10:40,To help with my career,MBA,None,I have taken one probability or statistics course,"Strategy, finance, social innovation & impact",Sustainability (clean energy),Smart grid data,"Since I'm a newbie, I'd prefer to focus on fundamentals, but if you can manage to work any of those in without overloading the course, I'd be happy to touch on them...."
1/27/2017 21:10:36,To help with my career,EMBA,I have taken one programming course,I have taken one probability or statistics course,Finance,Consulting,Sports Analytics,Multivariate regression
1/27/2017 21:26:16,To help with my career,MBA,I have taken one programming course,I have taken many courses and/or have extensive experience,Analytics or other quant,Consulting,Healthcare,"Multivariate regression, Machine Learning"
1/27/2017 21:26:23,,,,,,,,
1/28/2017 3:01:29,To help with my career,MS in Information Systems,I have taken many courses and/or have extensive experience,I have taken many courses and forgotten most of what I learned,Information Systems,Consulting,"economic, telecom, stock market data","Web scraping, Machine Learning"
1/28/2017 8:55:09,To help with my career,MBA,None,I have taken one probability or statistics course,Finance,"Technology (Amazon, Google, etc)",Economic development data,Machine Learning
1/28/2017 10:48:52,To help with my career,I/O Psych Masters program,I have taken one programming course,I have taken many courses and/or have extensive experience,I/O  Psych,Consulting,,"Web scraping, Machine Learning"
1/28/2017 13:00:30,I lost my mind for a minute,MS Information Systems,I have taken many courses and forgotten most of what I learned,I have taken one probability or statistics course,Analytics or other quant,Consulting,Environmental data,"Web scraping, Machine Learning"
1/28/2017 19:43:12,I heard it was fun,Master of Science in Information Systems,I have taken many courses and/or have extensive experience,None,Information Systems,"Technology (Amazon, Google, etc)",Consumer Behavior ,"Multivariate regression, Web scraping, Machine Learning"
1/29/2017 10:30:58,I heard it was fun,MBA,None,I have taken one probability or statistics course,Management,"Technology (Amazon, Google, etc)",,
1/29/2017 21:58:12,To help with my career,MBA,I have taken one programming course,I have taken one probability or statistics course,Management,"Technology (Amazon, Google, etc)",,Machine Learning
1/30/2017 17:03:24,To help with my career,M.A. in Economics,None,I have taken many courses and/or have extensive experience,Economics,Economic Government Data,Economic,"Multivariate regression, Machine Learning"
1/30/2017 19:05:04,To help with my career,MBA,None,I have taken one probability or statistics course,Analytics or other quant,Marketing,Baseball/basketball statistics,Multivariate regression
1/30/2017 20:55:16,I heard it was fun,MBA,I have taken one programming course,I have taken one probability or statistics course,Marketing,"Technology (Amazon, Google, etc)","Behavioral, geographic","Web scraping, Machine Learning"
1/30/2017 22:13:25,To help with my career,Information Systems - Masters,I have taken many courses and forgotten most of what I learned,I have taken many courses and forgotten most of what I learned,Analytics or other quant,"Technology (Amazon, Google, etc)",Demographics,"Multivariate regression, Web scraping, Machine Learning"
1/30/2017 22:35:43,I heard it was fun,MBA,None,I have taken one probability or statistics course,Finance,Consulting,"Sports, Polling, Markets, Economics",Machine Learning
